"Task","Phase","Status","Priority","This Week","Definition of Done","Next Action","Notes"
"Write the one-sentence offer","Offer","Not Started","High","Yes","You can explain what you sell in 20 seconds.","Write one simple sentence in French.","Start with comms + visits only."
"Choose one target customer","Offer","Not Started","High","Yes","You picked agent solo or small agency.","Pick one segment only.","Do not target everyone."
"Choose one launch zone","Offer","Not Started","Medium","Yes","You picked one geographic zone.","Select Brussels or one nearby area.","Keep scope narrow."
"Set the pilot price","Offer","Not Started","High","Yes","You have one clear paid pilot price.","Pick one setup fee and one monthly fee.","Do not optimize forever."
"Define what the pilot includes","Pilot Scope","Not Started","High","Yes","You listed what the pilot does and does not do.","Write the scope in one page.","Keep only comms + visits."
"List client prerequisites","Pilot Scope","Not Started","Medium","Yes","You know what must be connected before onboarding.","Write email agent, calendrier principal, Telegram.","Avoid hidden setup."
"Prepare one 5-minute demo","Demo","Not Started","High","Yes","You can show one flow end to end without improvising.","Pick one scenario: lead to booked visit.","Use fake but realistic data."
"Prepare three demo visuals","Demo","Not Started","Medium","Yes","You have 3 simple visuals ready.","Use the flow, Telegram message, weekly planning example.","Keep it short."
"Create the one-pager","Sales Assets","Not Started","High","Yes","You have one page with problem, solution, gains, price.","Draft the page in plain language.","No jargon."
"Write the outreach message","Sales Assets","Not Started","High","Yes","You have one short first contact message.","Write a 4-6 line outreach message.","Ask for 20 minutes."
"Write the follow-up message","Sales Assets","Not Started","Medium","Yes","You have one short follow-up message.","Write the follow-up now.","Use one version only."
"Prepare five discovery questions","Sales Assets","Not Started","Medium","No","You know what to ask on calls.","Write 5 pain-focused questions.","Focus on leads and visits."
"Set up demo AgentMail, primary Calendar, Telegram","Ops Setup","Not Started","High","Yes","The demo can run without technical chaos.","Prepare the sandbox.","Do this once."
"Prepare 3 fake leads","Ops Setup","Not Started","Medium","Yes","You can demo realistic incoming requests.","Create 3 test leads.","Use Immoweb-like wording."
"Make a list of 30 prospects","Prospecting","Not Started","High","Yes","You have 30 names with contact data.","Fill the Prospects database.","Warm leads first."
"Pick the first 10 prospects","Prospecting","Not Started","High","Yes","You know who you will contact first.","Sort the list by warmth.","Do not overthink."
"Send the first 10 messages","Prospecting","Not Started","High","Yes","10 personalized outreach messages are sent.","Send them before more product work.","Track all replies."
"Send follow-ups after 48 hours","Prospecting","Not Started","High","No","You followed up with everyone who did not reply.","Schedule a follow-up block.","Do not wait passively."
"Book at least 2 demos","Sales Calls","Not Started","High","No","Two demo calls are on the calendar.","Push toward a concrete time.","Offer a short call."
"Run the demo calls","Sales Calls","Not Started","High","No","You showed the demo and asked about their current process.","Use your call note template.","Ask before pitching."
"Ask for the paid pilot on the call","Sales Calls","Not Started","High","No","You made a direct paid offer.","State the pilot price and duration clearly.","Do not end with vague next steps."
"Send a proposal the same day","Closing","Not Started","High","No","The prospect receives a short written offer.","Send it within hours, not days.","Keep it concise."
"Send invoice or payment link","Closing","Not Started","High","No","The client has a way to pay immediately.","Prepare the payment step in advance.","No friction."
"Onboard the first paying client","Delivery","Not Started","Medium","No","The client is connected and the pilot starts.","Use a short onboarding checklist.","Do not overload them."
"Ask for testimonial or intro","Delivery","Not Started","Low","No","You requested proof or referral after value was delivered.","Ask after an early win.","This compounds."
